data_id,event_id_cnty,latitude,longitude,geo_precision
7063874,IRQ24043,35.565,45.4329,1
7063801,IRQ24047,32.5056,45.8247,1
7063800,IRQ24048,31.058,46.2573,1
7063757,IRQ24045,35.7728,43.5897,2
7063752,IRQ24026,36.502,44.7537,1
7063751,IRQ24025,36.9599,44.6039,2
7096859,IRQ24042,35.4681,44.3922,3
7096858,IRQ24041,35.4681,44.3922,1
7068805,IRQ24083,32.4637,44.4196,3
7063886,IRQ24029,37.0394,43.5175,2
7063883,IRQ24024,36.9599,44.6039,2
7063882,IRQ24023,36.502,44.7537,1
7063881,IRQ24022,36.5171,45.0199,2
7063799,IRQ24038,30.5769,47.355,1
7063790,IRQ24040,35.5729,42.7339,2
7063789,IRQ24039,36.2502,42.2252,1
7126010,IRQ24935,35.8,43.2833,1
7096861,IRQ24037,35.1392,44.4491,1
7096860,IRQ24036,35.3977,44.2173,1
7063803,IRQ24035,30.3921,47.7017,1
7096863,IRQ24034,34.3992,45.1427,2
7096862,IRQ24033,35.4021,43.8835,1
7063885,IRQ24028,37.0921,43.4877,2
7063884,IRQ24027,37.3128,43.0203,2
7063831,IRQ24032,34.4328,44.9348,1
7126011,IRQ24936,31.8356,47.1448,1
7096864,IRQ24018,35.4681,44.3922,1
7063887,IRQ24019,37.3128,43.0203,2
7126013,IRQ24938,33.6963,45.0778,1
7126012,IRQ24937,32.9176,44.2293,2
7096865,IRQ24017,33.7466,44.6437,3
7057826,IRQ23999,37.3128,43.0203,2
7096869,IRQ24014,35.269,43.9108,2
7096868,IRQ24015,33.3248,44.4213,1
7096867,IRQ24016,34.4689,41.9165,2
7096866,IRQ24013,34.8833,44.6333,2
7063888,IRQ24020,37.3128,43.0203,2
7057943,IRQ23997,37.3128,43.0203,2
7057828,IRQ24012,34.4327,45.1639,1
7126025,IRQ24940,35.4681,44.3922,1
7126023,IRQ24941,35.4681,44.3922,2
7126014,IRQ24939,35.9927,43.2206,2
7096872,IRQ24010,33.6691,39.9684,2
7096871,IRQ24009,35.4973,43.2365,2
7096870,IRQ24006,36.3809,42.4674,2
7057893,IRQ24005,34.6281,45.3185,2
7057871,IRQ23993,37.3128,43.0203,2
7057857,IRQ24008,31.8356,47.1448,1
7057856,IRQ24007,36.3809,42.4674,2
7126017,IRQ24942,36.1004,43.3112,1
7096878,IRQ24004,35.6748,44.0707,2
7096877,IRQ24003,35.6748,44.0707,2
7096876,IRQ24002,33.9798,44.9362,2
7096875,IRQ23998,33.6366,42.8277,2
7096874,IRQ24000,34.6281,45.3185,2
7096873,IRQ24011,35.4681,44.3922,1
7057890,IRQ24001,35.0976,44.3299,1
7096881,IRQ23988,33.6366,42.8277,2
7096880,IRQ23996,34.3044,44.4549,2
7096879,IRQ23986,33.7069,44.6554,2
7063880,IRQ24021,37.0921,43.4877,2
7057942,IRQ23989,37.3128,43.0203,2
7057855,IRQ23984,33.9289,44.7761,1
7057824,IRQ23991,37.0921,43.4877,2
7057823,IRQ23983,36.9599,44.6039,2
7057822,IRQ23982,30.367,47.6092,2
7057821,IRQ23981,36.8431,44.3009,2
7096884,IRQ23992,33.9798,44.9362,2
7096883,IRQ23990,33.6366,42.8277,2
7096882,IRQ23979,33.0373,40.2826,1
7057854,IRQ23980,34.273,45.1662,1
7057825,IRQ23994,31.058,46.2573,1
7057944,IRQ23987,36.8431,44.3009,2
7057940,IRQ23985,36.9599,44.6039,2
7029822,IRQ23960,37.3128,43.0203,2
7096890,IRQ23976,33.8636,44.9867,1
7096888,IRQ23972,35.6415,43.5458,1
7096887,IRQ23978,36.8047,42.0889,2
7096886,IRQ23975,34.0337,45.4385,1
7096885,IRQ23974,34.273,45.1662,2
7029812,IRQ23958,37.3128,43.0203,2
7029548,IRQ23977,35.4681,44.3922,1
7029817,IRQ23956,36.9599,44.6039,2
7029510,IRQ23971,32.5056,45.8247,1
7029509,IRQ23970,31.9929,44.9255,1
7126081,IRQ22815,34.0148,44.1457,2
7096894,IRQ23969,34.2385,44.992,1
7096893,IRQ23966,35.3855,43.7468,1
7096892,IRQ23967,33.7069,44.6554,1
7096891,IRQ23968,35.1294,43.4163,1
